"","AWT_seg_Thirona_P2","BODE_P2","Change_P2_P3_distwalked","Change_P2_P3_FEV1_ml","Change_P2_P3_FEV1_ml_yr","Change_P2_P3_FEV1pp","Change_P2_P3_lung_density_vnb","Chronic_Bronchitis_P2","copd_P2","distwalked_P2","DLco_raw_P2","Exacerbation_Frequency_P2","FEF2575_post_P2","FEV1_FVC_post_P2","FEV1_post_P2","finalGold_P2","FRC_Thirona_P2","FRC_TLC_ratio_Thirona_P2","FVC_post_P2","lung_density_vnb_P2","pctEmph_Thirona_P2","pctGasTrap_Thirona_P2","PEF_post_P2","Pi10_Thirona_P2","Resting_SaO2_P2","Severe_Exacerbations_P2","SGRQ_scoreTotal_P2","TLC_Thirona_P2","WallAreaPct_seg_Thirona_P2"
"M0000000331",0.006390742214405,0,0,0,0,0,0,0,0.0102859061177192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.362453034519583,0,0,0.0178227163025322,0
"M0000000338",0,0,0,0,0,0,0,0,0,0,-0.153275352591706,0,-0.0114971219779574,0,-0.0197758403692708,0,0,0,-0.0440533685505458,0,-0.16996723174842,0,0,0,0,0,0,-0.0237606645813455,0
"M0000000339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00378618129206142,-0.0133413238178576,0,0,1.12666503611298,-0.0590859629001457,0,0,0,0.17363028220233,0,0,-0.0186639727794342,0
"M0000000340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132309287392575,0,0,0,0,0,0,0,0
"M0000000344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115323387466313,0,0.0231061936007355,0,0.225623701257622,0,0,0,0.0874537756372978,0,0,0,0,0.0145206229475476,0
"M0000000355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000356",-0.00205375615761929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000358",0,0,0,0,0,0,0,0,0.522700940283236,0,-0.583515817507904,0,-0.181621524667699,-0.0625393906425933,-0.0567174351592192,0.358956607946538,0.118247797958586,0.0330803410140199,0,-7.19766374256346,0.553112744975816,0.291283110194755,-0.239561186453153,0.0172184626888062,0,0,0,0.0624415738552679,0
"M0000000361",0,0,0,0,0,0,0,0,-0.0150535360922914,0,0,0,0.000924564669630727,0.00597723670704655,0,-0.091379252125708,-0.0137193671939844,0,0,0,0,0,0.0485925301687497,-0.0011408697686183,0,0,0,-0.0137701316851102,0
"M0000000363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150427908301596,0,0,0,0,0,0,0,0
"M0000000376",0.0301998238798538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
